COMBINACION,DISTRITO,POBLACION_REAL,PROPORCION_REAL,NUMERO_AGENTES,PROPORCION_SIMULADA,FACTOR
SUM de PADRON_18_HOMBRES,4,3135,0.002696746356,20,0.01041666667,156.75
SUM de PADRON_18_MUJERES,4,3140,0.002701047387,20,0.01041666667,157
SUM de PADRON_19_HOMBRES,4,3816,0.003282546761,20,0.01041666667,190.8
SUM de PADRON_19_MUJERES,4,3814,0.003280826348,20,0.01041666667,190.7
SUM de PADRON_20_24_HOMBRES,4,20708,0.01781314946,20,0.01041666667,1035.4
SUM de PADRON_20_24_MUJERES,4,20540,0.01766863482,20,0.01041666667,1027
SUM de PADRON_25_29_HOMBRES,4,21320,0.01833959563,20,0.01041666667,1066
SUM de PADRON_25_29_MUJERES,4,20841,0.01792755688,20,0.01041666667,1042.05
SUM de PADRON_30_34_HOMBRES,4,20176,0.01735551977,20,0.01041666667,1008.8
SUM de PADRON_30_34_MUJERES,4,19897,0.01711552225,20,0.01041666667,994.85
SUM de PADRON_35_39_HOMBRES,4,18099,0.01556887155,20,0.01041666667,904.95
SUM de PADRON_35_39_MUJERES,4,17976,0.01546306619,20,0.01041666667,898.8
SUM de PADRON_40_44_HOMBRES,4,16086,0.01383727652,20,0.01041666667,804.3
SUM de PADRON_40_44_MUJERES,4,16240,0.01396974827,20,0.01041666667,812
SUM de PADRON_45_49_HOMBRES,4,14071,0.01210396108,20,0.01041666667,703.55
SUM de PADRON_45_49_MUJERES,4,15389,0.01323771282,20,0.01041666667,769.45
SUM de PADRON_50_54_HOMBRES,4,14344,0.01233879736,20,0.01041666667,717.2
SUM de PADRON_50_54_MUJERES,4,16063,0.01381749178,20,0.01041666667,803.15
SUM de PADRON_55_59_HOMBRES,4,12156,0.01045666625,20,0.01041666667,607.8
SUM de PADRON_55_59_MUJERES,4,14125,0.01215041221,20,0.01041666667,706.25
SUM de PADRON_60_64_HOMBRES,4,10165,0.008743995761,20,0.01041666667,508.25
SUM de PADRON_60_64_MUJERES,4,12132,0.01043602131,20,0.01041666667,606.6
SUM de PADRON_65_Y_MAS_HOMBRES,4,20132,0.0173176707,20,0.01041666667,1006.6
SUM de PADRON_65_Y_MAS_MUJERES,4,25691,0.02209955682,20,0.01041666667,1284.55
SUM de PADRON_18_HOMBRES,6,3514,0.003022764496,20,0.01041666667,175.7
SUM de PADRON_18_MUJERES,6,3361,0.002891152952,20,0.01041666667,168.05
SUM de PADRON_19_HOMBRES,6,3965,0.003410717481,20,0.01041666667,198.25
SUM de PADRON_19_MUJERES,6,3962,0.003408136862,20,0.01041666667,198.1
SUM de PADRON_20_24_HOMBRES,6,20785,0.01787938533,20,0.01041666667,1039.25
SUM de PADRON_20_24_MUJERES,6,20451,0.01759207647,20,0.01041666667,1022.55
SUM de PADRON_25_29_HOMBRES,6,19459,0.01673875194,20,0.01041666667,972.95
SUM de PADRON_25_29_MUJERES,6,18765,0.01614176886,20,0.01041666667,938.25
SUM de PADRON_30_34_HOMBRES,6,18898,0.01625617628,20,0.01041666667,944.9
SUM de PADRON_30_34_MUJERES,6,18870,0.01623209051,20,0.01041666667,943.5
SUM de PADRON_35_39_HOMBRES,6,17427,0.014990813,20,0.01041666667,871.35
SUM de PADRON_35_39_MUJERES,6,17782,0.01529618619,20,0.01041666667,889.1
SUM de PADRON_40_44_HOMBRES,6,15804,0.01359469838,20,0.01041666667,790.2
SUM de PADRON_40_44_MUJERES,6,16450,0.01415039157,20,0.01041666667,822.5
SUM de PADRON_45_49_HOMBRES,6,14016,0.01205664974,20,0.01041666667,700.8
SUM de PADRON_45_49_MUJERES,6,15253,0.01312072478,20,0.01041666667,762.65
SUM de PADRON_50_54_HOMBRES,6,13135,0.0112988081,20,0.01041666667,656.75
SUM de PADRON_50_54_MUJERES,6,14350,0.0123439586,20,0.01041666667,717.5
SUM de PADRON_55_59_HOMBRES,6,9432,0.008113464635,20,0.01041666667,471.6
SUM de PADRON_55_59_MUJERES,6,10842,0.009326355341,20,0.01041666667,542.1
SUM de PADRON_60_64_HOMBRES,6,7123,0.006127248579,20,0.01041666667,356.15
SUM de PADRON_60_64_MUJERES,6,8183,0.007039067124,20,0.01041666667,409.15
SUM de PADRON_65_Y_MAS_HOMBRES,6,12618,0.01085408151,20,0.01041666667,630.9
SUM de PADRON_65_Y_MAS_MUJERES,6,16106,0.01385448064,20,0.01041666667,805.3
SUM de PADRON_18_HOMBRES,10,2649,0.002278686155,20,0.01041666667,132.45
SUM de PADRON_18_MUJERES,10,2573,0.002213310486,20,0.01041666667,128.65
SUM de PADRON_19_HOMBRES,10,3147,0.00270706883,20,0.01041666667,157.35
SUM de PADRON_19_MUJERES,10,3114,0.002678682027,20,0.01041666667,155.7
SUM de PADRON_20_24_HOMBRES,10,17430,0.01499339362,20,0.01041666667,871.5
SUM de PADRON_20_24_MUJERES,10,17164,0.01476457877,20,0.01041666667,858.2
SUM de PADRON_25_29_HOMBRES,10,19773,0.01700885668,20,0.01041666667,988.65
SUM de PADRON_25_29_MUJERES,10,19289,0.01659251689,20,0.01041666667,964.45
SUM de PADRON_30_34_HOMBRES,10,21000,0.01806432966,20,0.01041666667,1050
SUM de PADRON_30_34_MUJERES,10,20402,0.01754992637,20,0.01041666667,1020.1
SUM de PADRON_35_39_HOMBRES,10,19257,0.0165649903,20,0.01041666667,962.85
SUM de PADRON_35_39_MUJERES,10,18780,0.01615467195,20,0.01041666667,939
SUM de PADRON_40_44_HOMBRES,10,16465,0.01416329466,20,0.01041666667,823.25
SUM de PADRON_40_44_MUJERES,10,17143,0.01474651444,20,0.01041666667,857.15
SUM de PADRON_45_49_HOMBRES,10,13580,0.01168159985,20,0.01041666667,679
SUM de PADRON_45_49_MUJERES,10,14985,0.01289018952,20,0.01041666667,749.25
SUM de PADRON_50_54_HOMBRES,10,12873,0.01107343408,20,0.01041666667,643.65
SUM de PADRON_50_54_MUJERES,10,15241,0.0131104023,20,0.01041666667,762.05
SUM de PADRON_55_59_HOMBRES,10,11194,0.009629147914,20,0.01041666667,559.7
SUM de PADRON_55_59_MUJERES,10,13965,0.01201277922,20,0.01041666667,698.25
SUM de PADRON_60_64_HOMBRES,10,10188,0.008763780503,20,0.01041666667,509.4
SUM de PADRON_60_64_MUJERES,10,13633,0.01172719077,20,0.01041666667,681.65
SUM de PADRON_65_Y_MAS_HOMBRES,10,25103,0.02159375559,20,0.01041666667,1255.15
SUM de PADRON_65_Y_MAS_MUJERES,10,35028,0.03013130187,20,0.01041666667,1751.4
SUM de PADRON_18_HOMBRES,12,1153,0.0009918177189,20,0.01041666667,57.65
SUM de PADRON_18_MUJERES,12,1111,0.0009556890596,20,0.01041666667,55.55
SUM de PADRON_19_HOMBRES,12,1410,0.001212890706,20,0.01041666667,70.5
SUM de PADRON_19_MUJERES,12,1419,0.001220632561,20,0.01041666667,70.95
SUM de PADRON_20_24_HOMBRES,12,7242,0.006229613114,20,0.01041666667,362.1
SUM de PADRON_20_24_MUJERES,12,7395,0.006361224658,20,0.01041666667,369.75
SUM de PADRON_25_29_HOMBRES,12,7202,0.006195204867,20,0.01041666667,360.1
SUM de PADRON_25_29_MUJERES,12,6767,0.005821015181,20,0.01041666667,338.35
SUM de PADRON_30_34_HOMBRES,12,6773,0.005826176418,20,0.01041666667,338.65
SUM de PADRON_30_34_MUJERES,12,6726,0.005785746728,20,0.01041666667,336.3
SUM de PADRON_35_39_HOMBRES,12,6315,0.00543220199,20,0.01041666667,315.75
SUM de PADRON_35_39_MUJERES,12,6491,0.005583598277,20,0.01041666667,324.55
SUM de PADRON_40_44_HOMBRES,12,5880,0.005058012304,20,0.01041666667,294
SUM de PADRON_40_44_MUJERES,12,6092,0.005240376013,20,0.01041666667,304.6
SUM de PADRON_45_49_HOMBRES,12,5123,0.004406836231,20,0.01041666667,256.15
SUM de PADRON_45_49_MUJERES,12,5452,0.004689844062,20,0.01041666667,272.6
SUM de PADRON_50_54_HOMBRES,12,4496,0.003867486959,20,0.01041666667,224.8
SUM de PADRON_50_54_MUJERES,12,5005,0.004305331902,20,0.01041666667,250.25
SUM de PADRON_55_59_HOMBRES,12,3573,0.00307351666,20,0.01041666667,178.65
SUM de PADRON_55_59_MUJERES,12,4149,0.003568995417,20,0.01041666667,207.45
SUM de PADRON_60_64_HOMBRES,12,2809,0.002416319143,20,0.01041666667,140.45
SUM de PADRON_60_64_MUJERES,12,3312,0.002849002849,20,0.01041666667,165.6
SUM de PADRON_65_Y_MAS_HOMBRES,12,5429,0.00467005932,20,0.01041666667,271.45
SUM de PADRON_65_Y_MAS_MUJERES,12,6605,0.005681661781,20,0.01041666667,330.25